,Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH
231,193,2020-02-22,19,4,7,6,,2020-02-22 13:26:33,2020-02-22 13:27:41,0:01:08,2020_02_22_N193_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2053)",5849.89324672277,0.11489776046738072,0.12220058422590067,0.28773125608568645,0.08081791626095422,0.1056475170399221,0.07546251217137293,0.049172346640701074,0.0813047711781889,0.08471275559883155
232,194,2020-01-25,26,4,2,0,,2020-01-25 13:24:07,2020-01-25 13:26:00,0:01:53,2020_01_25_N194_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 3403)",3112.505569081828,0.048472385428907167,0.0,0.21797884841363105,0.045240893066980016,0.14130434782608695,0.2946533490011751,0.0,0.1968272620446533,0.05611045828437133
233,194,2020-01-31,26,4,7,4,,2020-01-31 19:57:27,2020-01-31 19:59:15,0:01:48,2020_01_31_N194_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 3230)",5706.393402987421,0.09316001238006807,0.08418446301454657,0.08851748684617765,0.16217889198390592,0.06809037449705974,0.19560507582791706,0.22531723924481584,0.02414113277623027,0.05973382853605695
234,194,2020-02-01,24,4,18,25,CEBG,2020-02-01 12:15:35,2020-02-01 12:22:51,0:07:16,2020_02_01_N194_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 13069)",17420.267738345785,0.10130068859984698,0.12892119357306808,0.10244835501147666,0.1641928079571538,0.09418515684774292,0.14889058913542466,0.19089517980107115,0.011323641928079572,0.06013771996939556
235,194,2020-02-07,24,4,3,1,CBEG,2020-02-07 11:06:42,2020-02-07 11:08:04,0:01:22,2020_02_07_N194_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2461)",3580.364242017143,0.05889520714865961,0.06295694557270512,0.1429731925264013,0.27904142973192525,0.04955320877335498,0.2847278635255889,0.05889520714865961,0.06458164094232331,0.0
236,194,2020-02-08,22,4,2,0,,2020-02-08 14:05:48,2020-02-08 14:06:57,0:01:09,2020_02_08_N194_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2067)",2594.81771338362,0.04787234042553192,0.051740812379110254,0.3002901353965184,0.08462282398452611,0.0,0.1958413926499033,0.04497098646034816,0.2751450676982592,0.0
237,194,2020-02-15,21,4,2,0,BCEG,2020-02-15 17:34:05,2020-02-15 17:34:31,0:00:26,2020_02_15_N194_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 794)",2175.271524257379,0.0729559748427673,0.0,0.1911949685534592,0.2566037735849057,0.0930817610062893,0.18238993710691825,0.09056603773584904,0.1169811320754717,0.0
238,194,2020-02-22,21,4,5,3,,2020-02-22 13:36:35,2020-02-22 13:37:45,0:01:10,2020_02_22_N194_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2109)",4637.509838895725,0.06824644549763033,0.08436018957345971,0.17725118483412322,0.17582938388625596,0.1052132701421801,0.14834123222748816,0.07109004739336493,0.12369668246445498,0.04928909952606635
239,196,2020-01-31,25,4,6,3,,2020-01-31 20:05:28,2020-01-31 20:06:50,0:01:22,2020_01_31_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2445)",5113.933279262668,0.05846279640228945,0.04701553556827474,0.15494685200327066,0.13327882256745707,0.21545380212591986,0.15208503679476695,0.1500408830744072,0.022485690923957486,0.06623058053965658
240,196,2020-02-01,24,4,3,0,BCEG,2020-02-01 12:26:35,2020-02-01 12:27:48,0:01:13,2020_02_01_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2181)",2771.400771395949,0.03758020164986251,0.002749770852428964,0.23098075160403306,0.2282309807516041,0.10265811182401467,0.2529789184234647,0.08340971585701193,0.06416131989000917,0.0
